title,category,url,episodes,aired,ended
Turning Mecard W Season 2,series,https://anidb.net/anime/13822,26,02.03.2017,07.09.2017
Turning Mecard W: Vandyne-ui Bimil,series,https://anidb.net/anime/13823,6,15.10.2017,19.11.2017
Uju Heukgisa,movie,https://anidb.net/anime/11274,1,??.??.1979,??.??.1979
Underdog,movie,https://anidb.net/anime/14387,1,16.01.2019,16.01.2019
Uribyeol ilhowa ulrookso,movie,https://anidb.net/anime/13325,1,20.02.2014,20.02.2014
Wanghu Sim Cheong,movie,https://anidb.net/anime/8047,1,12.08.2005,12.08.2005
Wara! Pyeonuijeom,series,https://anidb.net/anime/14040,24,23.10.2009,02.04.2010
Wolf Daddy,movie,https://anidb.net/anime/8044,1,??.??.2005,??.??.2005
Wonderful Days,movie,https://anidb.net/anime/1022,1,17.07.2003,17.07.2003
Yeon-ae Haru Jeon,none,https://anidb.net/anime/15526,10,12.01.2018,23.02.2018
Yeon-ae Haru Jeon 2,none,https://anidb.net/anime/15527,15,30.03.2018,06.07.2018
Yoligongju Loopy,series,https://anidb.net/anime/15196,6,31.08.2012,27.09.2012
Young-sim,series,https://anidb.net/anime/10796,13,05.10.1990,29.03.1991
