,title,category,url,episodes,aired,ended
96,Hyakunengo no Aru Hi,movie,https://anidb.net/anime/12874,1,??.??.1933,??.??.1933
97,Rhythm,movie,https://anidb.net/anime/12875,1,??.??.1935,??.??.1935
98,Saru Masamune,movie,https://anidb.net/anime/6706,1,??.01.1931,??.01.1931
99,Tekusuke Monogatari,movie,https://anidb.net/anime/11449,1,??.??.1938,??.??.1938
100,Maabou no Nankai Funsen-ki,movie,https://anidb.net/anime/6906,1,1942-11-08,1942-11-08
101,Sankou to Tako: Hyakuman-ryou Chinsoudou,movie,https://anidb.net/anime/6693,1,??.??.1933,??.??.1933
102,Poppoya-san no Nonki Ekichou,movie,https://anidb.net/anime/6883,1,??.10.1948,??.10.1948
103,Oyama no Soudouin,movie,https://anidb.net/anime/6907,1,1942-03-09,1942-03-09
104,Kachikachi Yama,movie,https://anidb.net/anime/6916,1,1917-10-20,1917-10-20
105,Propagate,movie,https://anidb.net/anime/12877,1,??.??.1935,??.??.1935
106,Byoudoku no Denpa,movie,https://anidb.net/anime/12857,1,??.??.1926,??.??.1926
107,Manga Ookami wa Ookamida,movie,https://anidb.net/anime/12850,1,??.??.1931,??.??.1931
108,Osaru Sankichi: Funsenki,movie,https://anidb.net/anime/6901,1,??.??.1943,??.??.1943
109,Kaitei no Boukun,movie,https://anidb.net/anime/7193,1,??.??.1935,??.??.1935
110,Furuike Emaki: Kaeru to Kitsune,movie,https://anidb.net/anime/6881,1,??.02.1949,??.02.1949
111,Maabou no Tairiku Hikyou Tanken,movie,https://anidb.net/anime/6858,1,1938-06-04,1938-06-04
112,Norakuro Nitouhei: Enshuu no Maki,movie,https://anidb.net/anime/5927,1,??.??.1933,??.??.1933
113,Momotarou no Umiwashi,movie,https://anidb.net/anime/6895,1,1943-03-25,1943-03-25
114,Kemurigusa Monogatari,movie,https://anidb.net/anime/6845,1,??.??.1926,??.??.1926
115,Sanbiki no Koguma-san,movie,https://anidb.net/anime/11880,1,??.??.1931,??.??.1931
116,Yukidaruma,movie,https://anidb.net/anime/6918,1,1918-02-15,1918-02-15
117,Sora no Arawashi,movie,https://anidb.net/anime/6857,1,1938-04-20,1938-04-20
118,Manga Geki Yoshichirou no Keirei,movie,https://anidb.net/anime/12852,1,??.??.1933,??.??.1933
119,Baguda-jou no Touzoku,movie,https://anidb.net/anime/6847,1,1926-07-15,1926-07-15
120,Kumo to Tulip,movie,https://anidb.net/anime/4993,1,1943-04-15,1943-04-15
